departure_uhgs_id,departure_fr,destination_uhgs_id,destination_fr,destination_partner_balance_1789,destination_partner_balance_supp_1789,destination_substate_1789_fr,destination_state_1789_fr,tonnage,outdate_fixed,commodity_purpose,commodity_purpose2,commodity_purpose3,commodity_purpose4,all_cargos,nb_cargo
A0152606,Boulogne-sur-Mer,A0390929,Angleterre,Angleterre,Etranger,Angleterre,Grande-Bretagne,30.0,1787-06-09,Passagers,,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000002', 'cargo_item_action': 'Out', 'commodity_purpose': 'Passagers', 'link_to_pointcall': '00106070', 'commodity_standardized_en': 'Passenger', 'commodity_standardized_fr': 'Passagers', 'commodity_permanent_coding': 'IY-AAxxxx-xx-xxxxxx-xxxx'}]",1.0
A0171758,Tonnay-Charente,A0614666,Dublin,Angleterre,Etranger,Irlande,Grande-Bretagne,70.0,1787-01-16,,,,,,0.0
A0165080,Calais,A0382747,Douvres,Angleterre,Etranger,Angleterre,Grande-Bretagne,32.0,1787-10-21,,,,,,0.0
A0165080,Calais,A0382747,Douvres,Angleterre,Etranger,Angleterre,Grande-Bretagne,30.0,1787-08-04,,,,,,0.0
A0165080,Calais,A0382747,Douvres,Angleterre,Etranger,Angleterre,Grande-Bretagne,12.0,1787-07-25,,,,,,0.0
A0165080,Calais,A0382747,Douvres,Angleterre,Etranger,Angleterre,Grande-Bretagne,12.0,1787-09-26,,,,,,0.0
A0152606,Boulogne-sur-Mer,A0390929,Angleterre,Angleterre,Etranger,Angleterre,Grande-Bretagne,20.0,1787-11-17,Passagers,,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000002', 'cargo_item_action': 'Out', 'commodity_purpose': 'Passagers', 'link_to_pointcall': '00106724', 'commodity_standardized_en': 'Passenger', 'commodity_standardized_fr': 'Passagers', 'commodity_permanent_coding': 'IY-AAxxxx-xx-xxxxxx-xxxx'}]",1.0
A0187995,Bayonne,A0086920,Baiona (Galice),Espagne,Etranger,,Espagne,9.0,1787-06-28,Brai,Goudron,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000303', 'cargo_item_action': 'Out', 'commodity_purpose': 'Brai', 'link_to_pointcall': '00140426', 'commodity_standardized_en': 'Pitch', 'commodity_standardized_fr': 'Brai', 'commodity_permanent_coding': None}, {'quantity': None, 'quantity_u': None, 'commodity_id': '00000305', 'cargo_item_action': 'Out', 'commodity_purpose': 'Goudron', 'link_to_pointcall': '00140426', 'commodity_standardized_en': 'Tar', 'commodity_standardized_fr': 'Goudron', 'commodity_permanent_coding': None}]",2.0
A0152606,Boulogne-sur-Mer,A0840357,Norvège,Danemark,Etranger,Norvège,Danemark,90.0,1787-05-18,Lest,,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000094', 'cargo_item_action': 'Out', 'commodity_purpose': 'Lest', 'link_to_pointcall': '00105972', 'commodity_standardized_en': 'Ballast', 'commodity_standardized_fr': 'Lest', 'commodity_permanent_coding': 'TM-Zxxxxx-xx-xxxxxx-xxxx'}]",1.0
A0165080,Calais,A0382747,Douvres,Angleterre,Etranger,Angleterre,Grande-Bretagne,2.0,1787-08-18,,,,,,0.0
A0170819,Saint-Malo,A0049808,Ostende,Etats de l'Empereur,Etranger,Pays-Bas autrichiens,Autriche,15.0,1787-05-07,Sucre,,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000147', 'cargo_item_action': 'out', 'commodity_purpose': 'Sucre', 'link_to_pointcall': '00141775', 'commodity_standardized_en': 'Sugar', 'commodity_standardized_fr': 'Sucre', 'commodity_permanent_coding': 'ID-GBAxxx-JF-DCAxxx-FBxx'}]",1.0
A0170819,Saint-Malo,A1945598,Guernesey,Angleterre,Etranger,Iles anglo-normandes,Grande-Bretagne,15.0,1787-07-10,Autres marchandises,Sucre,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000013', 'cargo_item_action': 'out', 'commodity_purpose': 'Autres marchandises', 'link_to_pointcall': '00141896', 'commodity_standardized_en': 'Sundries', 'commodity_standardized_fr': 'Diverses marchandises', 'commodity_permanent_coding': 'xx-xxxxxx-JZ-MAxxxx-xxxx'}, {'quantity': None, 'quantity_u': None, 'commodity_id': '00000147', 'cargo_item_action': 'out', 'commodity_purpose': 'Sucre', 'link_to_pointcall': '00141896', 'commodity_standardized_en': 'Sugar', 'commodity_standardized_fr': 'Sucre', 'commodity_permanent_coding': 'ID-GBAxxx-JF-DCAxxx-FBxx'}]",2.0
A0124817,Nantes,A0046492,Bruges,Etats de l'Empereur,Etranger,Pays-Bas autrichiens,Autriche,140.0,1787-01-19,,,,,,0.0
A0124817,Nantes,A0691896,Brême,Quatre villes hanséatiques,Etranger,,Brême,60.0,1787-04-21,,,,,,0.0
A0205085,Cherbourg,A0888126,Moss,Danemark,Etranger,Norvège,Danemark,110.0,1787-04-02,Lest,,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000094', 'cargo_item_action': 'Out', 'commodity_purpose': 'Lest', 'link_to_pointcall': '00108278', 'commodity_standardized_en': 'Ballast', 'commodity_standardized_fr': 'Lest', 'commodity_permanent_coding': 'TM-Zxxxxx-xx-xxxxxx-xxxx'}]",1.0
A0180923,Bordeaux,A1759102,Saint-Pétersbourg,Russie,Etranger,Russie - mer Baltique,Empire russe,210.0,1787-04-20,Vin,Autres,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000043', 'cargo_item_action': 'Out', 'commodity_purpose': 'Vin', 'link_to_pointcall': '00174324', 'commodity_standardized_en': 'Wine', 'commodity_standardized_fr': 'Vin', 'commodity_permanent_coding': 'ID-FFBxxx-JF-FAAAxx-FBxx'}, {'quantity': None, 'quantity_u': None, 'commodity_id': '00000013', 'cargo_item_action': 'Out', 'commodity_purpose': 'Autres', 'link_to_pointcall': '00174324', 'commodity_standardized_en': 'Sundries', 'commodity_standardized_fr': 'Diverses marchandises', 'commodity_permanent_coding': 'xx-xxxxxx-JZ-MAxxxx-xxxx'}]",2.0
A0122918,Roscoff,A0630182,Groningue,Hollande,Etranger,Groningue,Provinces-Unies,72.0,1787-11-27,Genièvre,,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000426', 'cargo_item_action': 'Out', 'commodity_purpose': 'Genièvre', 'link_to_pointcall': '00146048', 'commodity_standardized_en': None, 'commodity_standardized_fr': None, 'commodity_permanent_coding': 'ID-BFxxxx-JF-ECAxxx-FBxx'}]",1.0
A0180923,Bordeaux,A0836627,Christiania / Oslo,Danemark,Etranger,Norvège,Danemark,135.0,1787-09-24,Vin,Eau de vie,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000043', 'cargo_item_action': 'Out', 'commodity_purpose': 'Vin', 'link_to_pointcall': '00176900', 'commodity_standardized_en': 'Wine', 'commodity_standardized_fr': 'Vin', 'commodity_permanent_coding': 'ID-FFBxxx-JF-FAAAxx-FBxx'}, {'quantity': None, 'quantity_u': None, 'commodity_id': '00000201', 'cargo_item_action': 'Out', 'commodity_purpose': 'Eau de vie', 'link_to_pointcall': '00176900', 'commodity_standardized_en': 'Brandy', 'commodity_standardized_fr': 'Eau-de-vie', 'commodity_permanent_coding': 'JF-FAxxxx-JF-EGBxxx-FBxx'}]",2.0
A0180923,Bordeaux,A1010107,Riga,Russie,Etranger,,Empire russe,230.0,1787-04-20,Café,Vin,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000138', 'cargo_item_action': 'Out', 'commodity_purpose': 'Café', 'link_to_pointcall': '00174325', 'commodity_standardized_en': 'Coffee', 'commodity_standardized_fr': 'Café', 'commodity_permanent_coding': 'ID-GCCxxx-xx-xxxxxx-FBxx'}, {'quantity': None, 'quantity_u': None, 'commodity_id': '00000043', 'cargo_item_action': 'Out', 'commodity_purpose': 'Vin', 'link_to_pointcall': '00174325', 'commodity_standardized_en': 'Wine', 'commodity_standardized_fr': 'Vin', 'commodity_permanent_coding': 'ID-FFBxxx-JF-FAAAxx-FBxx'}]",2.0
A0124817,Nantes,A0230227,Trieste ,Etats de l'Empereur,Etranger,Autriche méditerranéenne,Autriche,190.0,1787-10-31,,,,,,0.0
A0180923,Bordeaux,A1164922,Stettin,Prusse,Etranger,,Prusse,145.0,1787-09-14,Café,Vin,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000138', 'cargo_item_action': 'Out', 'commodity_purpose': 'Café', 'link_to_pointcall': '00176800', 'commodity_standardized_en': 'Coffee', 'commodity_standardized_fr': 'Café', 'commodity_permanent_coding': 'ID-GCCxxx-xx-xxxxxx-FBxx'}, {'quantity': None, 'quantity_u': None, 'commodity_id': '00000043', 'cargo_item_action': 'Out', 'commodity_purpose': 'Vin', 'link_to_pointcall': '00176800', 'commodity_standardized_en': 'Wine', 'commodity_standardized_fr': 'Vin', 'commodity_permanent_coding': 'ID-FFBxxx-JF-FAAAxx-FBxx'}]",2.0
A0124817,Nantes,A0869447,Frederikshald / Halden,Danemark,Etranger,Norvège,Danemark,80.0,1787-04-28,,,,,,0.0
A0165080,Calais,A0382747,Douvres,Angleterre,Etranger,Angleterre,Grande-Bretagne,30.0,1787-05-15,,,,,,0.0
A0165080,Calais,A0386686,Deal,Angleterre,Etranger,Angleterre,Grande-Bretagne,2.0,1787-07-16,,,,,,0.0
A0165080,Calais,A0382747,Douvres,Angleterre,Etranger,Angleterre,Grande-Bretagne,30.0,1787-06-15,,,,,,0.0
A0193167,Bastia,A0232521,Gênes,,Etranger,,République de Gênes,,1787-11-15,,,,,,0.0
B0000058,Norfolk,B0000058,Norfolk,Etats-Unis,Etranger,Virginie,Etats-Unis d'Amérique,433.0,1787-05-06,Eau de vie,Autres,Tobacco,Tobacco,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000201', 'cargo_item_action': 'Out', 'commodity_purpose': 'Eau de vie', 'link_to_pointcall': '00174625', 'commodity_standardized_en': 'Brandy', 'commodity_standardized_fr': 'Eau-de-vie', 'commodity_permanent_coding': 'JF-FAxxxx-JF-EGBxxx-FBxx'}, {'quantity': None, 'quantity_u': None, 'commodity_id': '00000013', 'cargo_item_action': 'Out', 'commodity_purpose': 'Autres', 'link_to_pointcall': '00174625', 'commodity_standardized_en': 'Sundries', 'commodity_standardized_fr': 'Diverses marchandises', 'commodity_permanent_coding': 'xx-xxxxxx-JZ-MAxxxx-xxxx'}, {'quantity': '12.0', 'quantity_u': 'Hhds', 'commodity_id': '00000032', 'cargo_item_action': 'In', 'commodity_purpose': 'Tobacco', 'link_to_pointcall': '00174625', 'commodity_standardized_en': None, 'commodity_standardized_fr': None, 'commodity_permanent_coding': 'ID-GVAxxx-xx-xxxxxx-xxxx'}, {'quantity': '565.0', 'quantity_u': 'Hhds', 'commodity_id': '00000032', 'cargo_item_action': 'In', 'commodity_purpose': 'Tobacco', 'link_to_pointcall': '00174625', 'commodity_standardized_en': None, 'commodity_standardized_fr': None, 'commodity_permanent_coding': 'ID-GVAxxx-xx-xxxxxx-xxxx'}]",4.0
A0165080,Calais,A0382747,Douvres,Angleterre,Etranger,Angleterre,Grande-Bretagne,32.0,1787-10-27,,,,,,0.0
A0204180,Dunkerque,A0394917,Angleterre (destination simulée pour),Angleterre,Etranger,Angleterre,Grande-Bretagne,12.0,1787-11-26,Genèvre,Autres marchandises,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000426', 'cargo_item_action': 'Out', 'commodity_purpose': 'Genèvre', 'link_to_pointcall': '00111747', 'commodity_standardized_en': None, 'commodity_standardized_fr': None, 'commodity_permanent_coding': 'ID-BFxxxx-JF-ECAxxx-FBxx'}, {'quantity': None, 'quantity_u': None, 'commodity_id': '00000013', 'cargo_item_action': 'Out', 'commodity_purpose': 'Autres marchandises', 'link_to_pointcall': '00111747', 'commodity_standardized_en': 'Sundries', 'commodity_standardized_fr': 'Diverses marchandises', 'commodity_permanent_coding': 'xx-xxxxxx-JZ-MAxxxx-xxxx'}]",2.0
A0165080,Calais,A0079352,Barcelone,Espagne,Etranger,,Espagne,110.0,1787-01-15,,,,,,0.0
A0165080,Calais,A0382747,Douvres,Angleterre,Etranger,Angleterre,Grande-Bretagne,32.0,1787-10-29,,,,,,0.0
A0204180,Dunkerque,A0624785,Veere,Hollande,Etranger,Zélande,Provinces-Unies,60.0,1787-08-08,Sucre,Café,Autres marchandises,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000147', 'cargo_item_action': 'Out', 'commodity_purpose': 'Sucre', 'link_to_pointcall': '00111083', 'commodity_standardized_en': 'Sugar', 'commodity_standardized_fr': 'Sucre', 'commodity_permanent_coding': 'ID-GBAxxx-JF-DCAxxx-FBxx'}, {'quantity': None, 'quantity_u': None, 'commodity_id': '00000138', 'cargo_item_action': 'Out', 'commodity_purpose': 'Café', 'link_to_pointcall': '00111083', 'commodity_standardized_en': 'Coffee', 'commodity_standardized_fr': 'Café', 'commodity_permanent_coding': 'ID-GCCxxx-xx-xxxxxx-FBxx'}, {'quantity': None, 'quantity_u': None, 'commodity_id': '00000013', 'cargo_item_action': 'Out', 'commodity_purpose': 'Autres marchandises', 'link_to_pointcall': '00111083', 'commodity_standardized_en': 'Sundries', 'commodity_standardized_fr': 'Diverses marchandises', 'commodity_permanent_coding': 'xx-xxxxxx-JZ-MAxxxx-xxxx'}]",3.0
A0130763,Diélette,A1945598,Guernesey,Angleterre,Etranger,Iles anglo-normandes,Grande-Bretagne,2.0,1787-06-25,Marchandises,,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000013', 'cargo_item_action': 'Out', 'commodity_purpose': 'Marchandises', 'link_to_pointcall': '00108929', 'commodity_standardized_en': 'Sundries', 'commodity_standardized_fr': 'Diverses marchandises', 'commodity_permanent_coding': 'xx-xxxxxx-JZ-MAxxxx-xxxx'}]",1.0
A0187101,Le Havre,A0892379,Tønsberg,Danemark,Etranger,Norvège,Danemark,120.0,1787-07-13,,,,,,0.0
A0165080,Calais,A0386686,Deal,Angleterre,Etranger,Angleterre,Grande-Bretagne,2.0,1787-09-09,,,,,,0.0
A0165080,Calais,A0382747,Douvres,Angleterre,Etranger,Angleterre,Grande-Bretagne,34.0,1787-08-13,,,,,,0.0
A0180923,Bordeaux,A0630182,Groningue,Hollande,Etranger,Groningue,Provinces-Unies,134.0,1787-03-23,Prune,Vin,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000433', 'cargo_item_action': 'Out', 'commodity_purpose': 'Prune', 'link_to_pointcall': '00174131', 'commodity_standardized_en': None, 'commodity_standardized_fr': None, 'commodity_permanent_coding': 'ID-FFExxx-xx-xxxxxx-FBxx'}, {'quantity': None, 'quantity_u': None, 'commodity_id': '00000043', 'cargo_item_action': 'Out', 'commodity_purpose': 'Vin', 'link_to_pointcall': '00174131', 'commodity_standardized_en': 'Wine', 'commodity_standardized_fr': 'Vin', 'commodity_permanent_coding': 'ID-FFBxxx-JF-FAAAxx-FBxx'}]",2.0
A0181755,Collioure,A0075881,Selva de Mar,Espagne,Etranger,,Espagne,35.0,1787-12-19,Lest,,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000094', 'cargo_item_action': 'Out', 'commodity_purpose': 'Lest', 'link_to_pointcall': '00170295', 'commodity_standardized_en': 'Ballast', 'commodity_standardized_fr': 'Lest', 'commodity_permanent_coding': 'TM-Zxxxxx-xx-xxxxxx-xxxx'}]",1.0
A0187995,Bayonne,A0076723,San Martín de la Arena,Espagne,Etranger,,Espagne,31.0,1787-07-10,Eau de vie,Planches,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000201', 'cargo_item_action': 'Out', 'commodity_purpose': 'Eau de vie', 'link_to_pointcall': '00140451', 'commodity_standardized_en': 'Brandy', 'commodity_standardized_fr': 'Eau-de-vie', 'commodity_permanent_coding': 'JF-FAxxxx-JF-EGBxxx-FBxx'}, {'quantity': None, 'quantity_u': None, 'commodity_id': '00000068', 'cargo_item_action': 'Out', 'commodity_purpose': 'Planches', 'link_to_pointcall': '00140451', 'commodity_standardized_en': 'Plank', 'commodity_standardized_fr': 'Planches', 'commodity_permanent_coding': 'IB-Cxxxxx-JR-BEBxxx-xxxx'}]",2.0
A0180923,Bordeaux,A0364551,Setúbal ,Portugal,Etranger,,Portugal,80.0,1787-10-16,Lest,,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000094', 'cargo_item_action': 'Out', 'commodity_purpose': 'Lest', 'link_to_pointcall': '00177134', 'commodity_standardized_en': 'Ballast', 'commodity_standardized_fr': 'Lest', 'commodity_permanent_coding': 'TM-Zxxxxx-xx-xxxxxx-xxxx'}]",1.0
A0187101,Le Havre,A0385489,Portsmouth,Angleterre,Etranger,Angleterre,Grande-Bretagne,118.0,1787-10-15,,,,,,0.0
A0187101,Le Havre,A0379790,Liverpool,Angleterre,Etranger,Angleterre,Grande-Bretagne,165.0,1787-08-09,,,,,,0.0
A0122218,Rouen,A0120232,Cadix,Espagne,Etranger,,Espagne,145.0,1787-09-21,,,,,,0.0
A0171758,Tonnay-Charente,A0381691,Londres,Angleterre,Etranger,Angleterre,Grande-Bretagne,100.0,1787-03-19,,,,,,0.0
A0165080,Calais,A0386686,Deal,Angleterre,Etranger,Angleterre,Grande-Bretagne,2.0,1787-07-20,,,,,,0.0
A0122918,Roscoff,A0388018,Coverack,Angleterre,Etranger,Angleterre,Grande-Bretagne,2.0,1787-07-06,Genièvre,Eau de vie,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000426', 'cargo_item_action': 'Out', 'commodity_purpose': 'Genièvre', 'link_to_pointcall': '00145957', 'commodity_standardized_en': None, 'commodity_standardized_fr': None, 'commodity_permanent_coding': 'ID-BFxxxx-JF-ECAxxx-FBxx'}, {'quantity': None, 'quantity_u': None, 'commodity_id': '00000201', 'cargo_item_action': 'Out', 'commodity_purpose': 'Eau de vie', 'link_to_pointcall': '00145957', 'commodity_standardized_en': 'Brandy', 'commodity_standardized_fr': 'Eau-de-vie', 'commodity_permanent_coding': 'JF-FAxxxx-JF-EGBxxx-FBxx'}]",2.0
A0122918,Roscoff,A0388018,Coverack,Angleterre,Etranger,Angleterre,Grande-Bretagne,2.0,1787-08-10,Eau de vie,,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000201', 'cargo_item_action': 'Out', 'commodity_purpose': 'Eau de vie', 'link_to_pointcall': '00145988', 'commodity_standardized_en': 'Brandy', 'commodity_standardized_fr': 'Eau-de-vie', 'commodity_permanent_coding': 'JF-FAxxxx-JF-EGBxxx-FBxx'}]",1.0
A0165080,Calais,A0382747,Douvres,Angleterre,Etranger,Angleterre,Grande-Bretagne,12.0,1787-09-05,,,,,,0.0
A0165080,Calais,A0384561,Rye,Angleterre,Etranger,Angleterre,Grande-Bretagne,12.0,1787-03-27,,,,,,0.0
A0180923,Bordeaux,A1164922,Stettin,Prusse,Etranger,,Prusse,295.0,1787-07-27,Sucre,Autres,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000147', 'cargo_item_action': 'Out', 'commodity_purpose': 'Sucre', 'link_to_pointcall': '00176271', 'commodity_standardized_en': 'Sugar', 'commodity_standardized_fr': 'Sucre', 'commodity_permanent_coding': 'ID-GBAxxx-JF-DCAxxx-FBxx'}, {'quantity': None, 'quantity_u': None, 'commodity_id': '00000013', 'cargo_item_action': 'Out', 'commodity_purpose': 'Autres', 'link_to_pointcall': '00176271', 'commodity_standardized_en': 'Sundries', 'commodity_standardized_fr': 'Diverses marchandises', 'commodity_permanent_coding': 'xx-xxxxxx-JZ-MAxxxx-xxxx'}]",2.0
A0122918,Roscoff,A0388018,Coverack,Angleterre,Etranger,Angleterre,Grande-Bretagne,3.0,1787-06-04,Thé,Eau de vie,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000299', 'cargo_item_action': 'Out', 'commodity_purpose': 'Thé', 'link_to_pointcall': '00145928', 'commodity_standardized_en': None, 'commodity_standardized_fr': None, 'commodity_permanent_coding': 'ID-GCDxxx-xx-xxxxxx-FBxx'}, {'quantity': None, 'quantity_u': None, 'commodity_id': '00000201', 'cargo_item_action': 'Out', 'commodity_purpose': 'Eau de vie', 'link_to_pointcall': '00145928', 'commodity_standardized_en': 'Brandy', 'commodity_standardized_fr': 'Eau-de-vie', 'commodity_permanent_coding': 'JF-FAxxxx-JF-EGBxxx-FBxx'}]",2.0
A0122918,Roscoff,A0388018,Coverack,Angleterre,Etranger,Angleterre,Grande-Bretagne,2.0,1787-07-23,Genièvre,Eau de vie,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000426', 'cargo_item_action': 'Out', 'commodity_purpose': 'Genièvre', 'link_to_pointcall': '00145970', 'commodity_standardized_en': None, 'commodity_standardized_fr': None, 'commodity_permanent_coding': 'ID-BFxxxx-JF-ECAxxx-FBxx'}, {'quantity': None, 'quantity_u': None, 'commodity_id': '00000201', 'cargo_item_action': 'Out', 'commodity_purpose': 'Eau de vie', 'link_to_pointcall': '00145970', 'commodity_standardized_en': 'Brandy', 'commodity_standardized_fr': 'Eau-de-vie', 'commodity_permanent_coding': 'JF-FAxxxx-JF-EGBxxx-FBxx'}]",2.0
A0180923,Bordeaux,A0691896,Brême,Quatre villes hanséatiques,Etranger,,Brême,180.0,1787-02-01,Café,Vin,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000138', 'cargo_item_action': 'Out', 'commodity_purpose': 'Café', 'link_to_pointcall': '00173764', 'commodity_standardized_en': 'Coffee', 'commodity_standardized_fr': 'Café', 'commodity_permanent_coding': 'ID-GCCxxx-xx-xxxxxx-FBxx'}, {'quantity': None, 'quantity_u': None, 'commodity_id': '00000043', 'cargo_item_action': 'Out', 'commodity_purpose': 'Vin', 'link_to_pointcall': '00173764', 'commodity_standardized_en': 'Wine', 'commodity_standardized_fr': 'Vin', 'commodity_permanent_coding': 'ID-FFBxxx-JF-FAAAxx-FBxx'}]",2.0
A0180923,Bordeaux,A0364551,Setúbal ,Portugal,Etranger,,Portugal,130.0,1787-09-15,Lest,,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000094', 'cargo_item_action': 'Out', 'commodity_purpose': 'Lest', 'link_to_pointcall': '00176808', 'commodity_standardized_en': 'Ballast', 'commodity_standardized_fr': 'Lest', 'commodity_permanent_coding': 'TM-Zxxxxx-xx-xxxxxx-xxxx'}]",1.0
A0170819,Saint-Malo,A1945598,Guernesey,Angleterre,Etranger,Iles anglo-normandes,Grande-Bretagne,30.0,1787-10-01,Au lest,,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000094', 'cargo_item_action': 'out', 'commodity_purpose': 'Au lest', 'link_to_pointcall': '00142081', 'commodity_standardized_en': 'Ballast', 'commodity_standardized_fr': 'Lest', 'commodity_permanent_coding': 'TM-Zxxxxx-xx-xxxxxx-xxxx'}]",1.0
A0136403,Noirmoutier,B2119892,"Terre-Neuve, île de",Angleterre,Etranger,Colonies britanniques d'Amérique,Grande-Bretagne,140.0,1787-05-18,Sel,,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000129', 'cargo_item_action': 'Out', 'commodity_purpose': 'Sel', 'link_to_pointcall': '00152199', 'commodity_standardized_en': 'Salt', 'commodity_standardized_fr': 'Sel', 'commodity_permanent_coding': 'IC-CAxxxx-xx-xxxxxx-FBFx'}]",1.0
A0122918,Roscoff,A0397385,Plymouth,Angleterre,Etranger,Angleterre,Grande-Bretagne,10.0,1787-08-16,Sel,,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000129', 'cargo_item_action': 'Out', 'commodity_purpose': 'Sel', 'link_to_pointcall': '00145992', 'commodity_standardized_en': 'Salt', 'commodity_standardized_fr': 'Sel', 'commodity_permanent_coding': 'IC-CAxxxx-xx-xxxxxx-FBFx'}]",1.0
A0170819,Saint-Malo,A1945598,Guernesey,Angleterre,Etranger,Iles anglo-normandes,Grande-Bretagne,20.0,1787-01-24,Savon,Autres marchandises,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000135', 'cargo_item_action': 'out', 'commodity_purpose': 'Savon', 'link_to_pointcall': '00141434', 'commodity_standardized_en': 'Soap', 'commodity_standardized_fr': 'Savon', 'commodity_permanent_coding': None}, {'quantity': None, 'quantity_u': None, 'commodity_id': '00000013', 'cargo_item_action': 'out', 'commodity_purpose': 'Autres marchandises', 'link_to_pointcall': '00141434', 'commodity_standardized_en': 'Sundries', 'commodity_standardized_fr': 'Diverses marchandises', 'commodity_permanent_coding': 'xx-xxxxxx-JZ-MAxxxx-xxxx'}]",2.0
A0180923,Bordeaux,A0691896,Brême,Quatre villes hanséatiques,Etranger,,Brême,270.0,1787-08-13,Autres,Vin,Sucre,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000013', 'cargo_item_action': 'Out', 'commodity_purpose': 'Autres', 'link_to_pointcall': '00176445', 'commodity_standardized_en': 'Sundries', 'commodity_standardized_fr': 'Diverses marchandises', 'commodity_permanent_coding': 'xx-xxxxxx-JZ-MAxxxx-xxxx'}, {'quantity': None, 'quantity_u': None, 'commodity_id': '00000043', 'cargo_item_action': 'Out', 'commodity_purpose': 'Vin', 'link_to_pointcall': '00176445', 'commodity_standardized_en': 'Wine', 'commodity_standardized_fr': 'Vin', 'commodity_permanent_coding': 'ID-FFBxxx-JF-FAAAxx-FBxx'}, {'quantity': None, 'quantity_u': None, 'commodity_id': '00000147', 'cargo_item_action': 'Out', 'commodity_purpose': 'Sucre', 'link_to_pointcall': '00176445', 'commodity_standardized_en': 'Sugar', 'commodity_standardized_fr': 'Sucre', 'commodity_permanent_coding': 'ID-GBAxxx-JF-DCAxxx-FBxx'}]",3.0
A0187995,Bayonne,A0052580,Gand,Etats de l'Empereur,Etranger,Pays-Bas autrichiens,Autriche,100.0,1787-01-10,Vin,Réglisse,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000043', 'cargo_item_action': 'Out', 'commodity_purpose': 'Vin', 'link_to_pointcall': '00140074', 'commodity_standardized_en': 'Wine', 'commodity_standardized_fr': 'Vin', 'commodity_permanent_coding': 'ID-FFBxxx-JF-FAAAxx-FBxx'}, {'quantity': None, 'quantity_u': None, 'commodity_id': '00000438', 'cargo_item_action': 'Out', 'commodity_purpose': 'Réglisse', 'link_to_pointcall': '00140074', 'commodity_standardized_en': None, 'commodity_standardized_fr': None, 'commodity_permanent_coding': 'ID-VFxxxx-JF-GCHLBx-FBxx'}]",2.0
A0187995,Bayonne,A0114403,La Corogne,Espagne,Etranger,,Espagne,45.0,1787-07-20,Brai,Goudron,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000303', 'cargo_item_action': 'Out', 'commodity_purpose': 'Brai', 'link_to_pointcall': '00140481', 'commodity_standardized_en': 'Pitch', 'commodity_standardized_fr': 'Brai', 'commodity_permanent_coding': None}, {'quantity': None, 'quantity_u': None, 'commodity_id': '00000305', 'cargo_item_action': 'Out', 'commodity_purpose': 'Goudron', 'link_to_pointcall': '00140481', 'commodity_standardized_en': 'Tar', 'commodity_standardized_fr': 'Goudron', 'commodity_permanent_coding': None}]",2.0
A0187995,Bayonne,A0073119,Bilbao,Espagne,Etranger,,Espagne,180.0,1787-06-21,Au lest,,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000094', 'cargo_item_action': 'Out', 'commodity_purpose': 'Au lest', 'link_to_pointcall': '00140407', 'commodity_standardized_en': 'Ballast', 'commodity_standardized_fr': 'Lest', 'commodity_permanent_coding': 'TM-Zxxxxx-xx-xxxxxx-xxxx'}]",1.0
